month_date,threshold_actual,name,value,value_12m,threshold_type,real_dollars_date,threshold_nominal
2010-01-01,7.2099931045456955,count,4.09277875096677,5.297606346198997,real,February 2023,10
2010-02-01,7.203130801463957,count,4.2473443197906695,5.136376418148355,real,February 2023,10
2010-03-01,7.205517689492389,count,4.400707726992863,4.9517898698575395,real,February 2023,10
2010-04-01,7.207175250623242,count,4.24753174635668,4.7901852699571945,real,February 2023,10
2010-05-01,7.203429162467511,count,4.146992153301205,4.653365383113101,real,February 2023,10
2010-06-01,7.200412401209356,count,3.9870622784317677,4.503904644194749,real,February 2023,10
2010-07-01,7.213871797591894,count,3.7470346600835494,4.291207551794092,real,February 2023,10
2010-08-01,7.224413886384129,count,4.054159509601029,4.243061136086665,real,February 2023,10
2010-09-01,7.236083116745345,count,3.980077063540584,4.20969404239534,real,February 2023,10
2010-10-01,7.261278045934334,count,5.265427899398005,4.291861487745352,real,February 2023,10
2010-11-01,7.279676974486819,count,5.301451676784294,4.343252290339236,real,February 2023,10
2010-12-01,7.308916352835093,count,6.1508893180964614,4.46845475861199,real,February 2023,10
2011-01-01,7.332619477006311,count,4.965217008240981,4.541157946718174,real,February 2023,10
2011-02-01,7.356189996287062,count,5.547762718067282,4.6495261465745585,real,February 2023,10
2011-03-01,7.394247599851482,count,6.002114601190418,4.782976719424354,real,February 2023,10
2011-04-01,7.428956929931575,count,5.42214700916734,4.880861324658576,real,February 2023,10
2011-05-01,7.45259375165756,count,5.471037556516822,4.991198441593211,real,February 2023,10
2011-06-01,7.45259375165756,count,6.223776576899753,5.177591299798877,real,February 2023,10
2011-07-01,7.472119821779027,count,6.59084594565196,5.414575573596244,real,February 2023,10
2011-08-01,7.4956903410597775,count,6.089749944344726,5.5842081098248855,real,February 2023,10
2011-09-01,7.51196759136477,count,7.6112410427227335,5.886805108090065,real,February 2023,10
2011-10-01,7.517039728425184,count,7.49108042785021,6.072276152127748,real,February 2023,10
2011-11-01,7.5309300907017445,count,7.582496207317355,6.262363196338836,real,February 2023,10
2011-12-01,7.532720256723067,count,7.144525256899422,6.345166191239084,real,February 2023,10
2012-01-01,7.553240863523047,count,7.702303737455067,6.573256752006924,real,February 2023,10
2012-02-01,7.569385508937569,count,7.351986342953063,6.723608720747406,real,February 2023,10
2012-03-01,7.585231793348537,count,7.37301479202907,6.837850403317294,real,February 2023,10
2012-04-01,7.597829257943032,count,7.24720311512156,6.989938412146812,real,February 2023,10
2012-05-01,7.582115578422532,count,7.0224789447458535,7.119225194499231,real,February 2023,10
2012-06-01,7.575849997347901,count,7.004451709273912,7.184281455530411,real,February 2023,10
2012-07-01,7.57803797804063,count,7.671429224243836,7.274330062079734,real,February 2023,10
2012-08-01,7.622062801676126,count,6.762328491391384,7.330378274333622,real,February 2023,10
2012-09-01,7.658429692887072,count,7.121428242331241,7.289560540967664,real,February 2023,10
2012-10-01,7.679082904577521,count,6.522621807923732,7.2088556559737915,real,February 2023,10
2012-11-01,7.666187078979472,count,7.330727731330248,7.187874949641532,real,February 2023,10
2012-12-01,7.665258844746194,count,7.2158649565520605,7.193819924612586,real,February 2023,10
2013-01-01,7.680442104704821,count,7.282632224138424,7.158847298502866,real,February 2023,10
2013-02-01,7.72214634275712,count,6.725516110784439,7.106641445822147,real,February 2023,10
2013-03-01,7.700432291942927,count,7.265437859445478,7.0976767014401805,real,February 2023,10
2013-04-01,7.684353948973637,count,6.314264908515164,7.019931850889647,real,February 2023,10
2013-05-01,7.687536466344878,count,6.621003662768091,6.9864755773915,real,February 2023,10
2013-06-01,7.705835941229512,count,6.536276899110078,6.947461009877848,real,February 2023,10
2013-07-01,7.720919747520288,count,6.921687091937221,6.884982498852297,real,February 2023,10
2013-08-01,7.73935182729539,count,6.357649380404921,6.851259239603425,real,February 2023,10
2013-09-01,7.742269134885694,count,7.350094672261883,6.870314775430979,real,February 2023,10
2013-10-01,7.746413037712831,count,5.467730005310703,6.782407125213226,real,February 2023,10
2013-11-01,7.760701214660796,count,6.493721140568918,6.712656575983115,real,February 2023,10
2013-12-01,7.781221821460775,count,7.201199661044295,6.711434468024135,real,February 2023,10
2014-01-01,7.8000848671298995,count,6.4315960229506155,6.640514784591817,real,February 2023,10
2014-02-01,7.808671033787725,count,6.339206137596538,6.608322286826159,real,February 2023,10
2014-03-01,7.824616771866545,count,6.5162380866452985,6.545888972426144,real,February 2023,10
2014-04-01,7.839203309818065,count,6.936464905132526,6.597738972144257,real,February 2023,10
2014-05-01,7.854121359995757,count,6.782691640208722,6.61121297026431,real,February 2023,10
2014-06-01,7.864497692674905,count,6.490008322677871,6.607357255561626,real,February 2023,10
2014-07-01,7.873349069113669,count,6.298760766462537,6.555446728438736,real,February 2023,10
2014-08-01,7.872089322654219,count,6.1249381921226895,6.536054129415216,real,February 2023,10
2014-09-01,7.872652893438709,count,6.013166606905143,6.424643457302155,real,February 2023,10
2014-10-01,7.871094785975707,count,6.274005421808276,6.491833075343619,real,February 2023,10
2014-11-01,7.856276189465866,count,5.844688244797298,6.437747000695984,real,February 2023,10
2014-12-01,7.832042645732774,count,6.001938622950085,6.3378085808548,real,February 2023,10
2015-01-01,7.782150055694054,count,5.9227315636151365,6.29540320924351,real,February 2023,10
2015-02-01,7.801875033151222,count,5.609995784649136,6.234635679831227,real,February 2023,10
2015-03-01,7.8228929082904575,count,5.60089836803076,6.158357369946682,real,February 2023,10
2015-04-01,7.8310481090542625,count,5.957412283756242,6.076769651498658,real,February 2023,10
2015-05-01,7.856872911472975,count,5.015893906389785,5.929536507013746,real,February 2023,10
2015-06-01,7.878620113509786,count,5.089324939336887,5.812812891735331,real,February 2023,10
