state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
NY,11,NA,NA,$14.20,January 2022 through December 2022,NA
OH,11,NA,NA,$10.10,January 2022 through December 2022,NA
OK,11,0.08519231043217561,87000,$7.25,January 2022 through December 2022,1120
OR,11,NA,NA,$13.50,January 2022 through December 2022,NA
PA,11,0.05189506434772576,182000,$7.25,January 2022 through December 2022,2300
RI,11,NA,NA,$13.00,January 2022 through December 2022,NA
SC,11,0.07923093397221823,91000,$7.25,January 2022 through December 2022,1103
SD,11,NA,NA,$10.80,January 2022 through December 2022,NA
TN,11,0.060740939950734485,118000,$7.25,January 2022 through December 2022,1553
TX,11,0.07450467299288366,631000,$7.25,January 2022 through December 2022,5088
UT,11,0.032885786233353975,36000,$7.25,January 2022 through December 2022,1704
VA,11,NA,NA,$12.00,January 2022 through December 2022,NA
VT,11,NA,NA,$13.18,January 2022 through December 2022,NA
WA,11,NA,NA,$15.74,January 2022 through December 2022,NA
WI,11,0.044582276653384885,92000,$7.25,January 2022 through December 2022,1496
WV,11,0.09399627697735037,35000,$8.75,January 2022 through December 2022,1243
WY,11,0.06768752726443755,11000,$7.25,January 2022 through December 2022,1167
AK,12,0.03098996170991431,6000,$10.85,January 2022 through December 2022,920
AL,12,0.11326186166553695,113000,$7.25,January 2022 through December 2022,1321
AR,12,0.09779326362057958,63000,$11.00,January 2022 through December 2022,1135
AZ,12,NA,NA,$13.85,January 2022 through December 2022,NA
CA,12,NA,NA,$15.50,January 2022 through December 2022,NA
CO,12,NA,NA,$13.65,January 2022 through December 2022,NA
CT,12,NA,NA,$14.00,January 2022 through December 2022,NA
DC,12,NA,NA,$16.10,January 2022 through December 2022,NA
DE,12,NA,NA,$11.75,January 2022 through December 2022,NA
FL,12,0.08213129732726629,364000,$11.00,January 2022 through December 2022,2931
GA,12,0.08933376952564624,238000,$7.25,January 2022 through December 2022,1619
HI,12,NA,NA,$12.00,January 2022 through December 2022,NA
IA,12,0.0782119684692687,72000,$7.25,January 2022 through December 2022,978
ID,12,0.08097939789890703,47000,$7.25,January 2022 through December 2022,1646
IL,12,NA,NA,$13.00,January 2022 through December 2022,NA
IN,12,0.05844006491745228,119000,$7.25,January 2022 through December 2022,1488
KS,12,0.07931227512933454,77000,$7.25,January 2022 through December 2022,1204
KY,12,0.10204021534553043,128000,$7.25,January 2022 through December 2022,974
LA,12,0.15907501056021864,135000,$7.25,January 2022 through December 2022,1311
MA,12,NA,NA,$15.00,January 2022 through December 2022,NA
MD,12,NA,NA,$13.25,January 2022 through December 2022,NA
ME,12,NA,NA,$13.80,January 2022 through December 2022,NA
MI,12,0.06263724870439699,171000,$10.10,January 2022 through December 2022,1880
MN,12,0.029356149834747644,55000,$10.59,January 2022 through December 2022,1345
MO,12,NA,NA,$12.00,January 2022 through December 2022,NA
MS,12,0.17161114940735758,115000,$7.25,January 2022 through December 2022,1267
MT,12,0.059576196003490185,20000,$9.95,January 2022 through December 2022,1526
NC,12,0.11043156912158393,251000,$7.25,January 2022 through December 2022,1596
ND,12,0.04728000880616165,13000,$7.25,January 2022 through December 2022,1644
NE,12,0.05166760213902157,35000,$10.50,January 2022 through December 2022,1293
NH,12,0.03984876028340878,20000,$7.25,January 2022 through December 2022,1318
NJ,12,NA,NA,$14.13,January 2022 through December 2022,NA
NM,12,NA,NA,$12.00,January 2022 through December 2022,NA
NV,12,0.0578938659334247,47000,$10.50,January 2022 through December 2022,1059
NY,12,NA,NA,$14.20,January 2022 through December 2022,NA
OH,12,0.07450170336557042,264000,$10.10,January 2022 through December 2022,2144
OK,12,0.11137633204012376,113000,$7.25,January 2022 through December 2022,1120
OR,12,NA,NA,$13.50,January 2022 through December 2022,NA
PA,12,0.07101103420061265,249000,$7.25,January 2022 through December 2022,2300
RI,12,NA,NA,$13.00,January 2022 through December 2022,NA
SC,12,0.10070880358559635,116000,$7.25,January 2022 through December 2022,1103
SD,12,0.04683244410709101,14000,$10.80,January 2022 through December 2022,1100
TN,12,0.09023366582628548,175000,$7.25,January 2022 through December 2022,1553
TX,12,0.09339788593963262,791000,$7.25,January 2022 through December 2022,5088
UT,12,0.05095232740623348,55000,$7.25,January 2022 through December 2022,1704
VA,12,NA,NA,$12.00,January 2022 through December 2022,NA
VT,12,NA,NA,$13.18,January 2022 through December 2022,NA
WA,12,NA,NA,$15.74,January 2022 through December 2022,NA
WI,12,0.0685718793033044,141000,$7.25,January 2022 through December 2022,1496
WV,12,0.12729406213445135,48000,$8.75,January 2022 through December 2022,1243
WY,12,0.09062730865596118,14000,$7.25,January 2022 through December 2022,1167
AK,13,0.040263959577155964,8000,$10.85,January 2022 through December 2022,920
AL,13,0.16775736248520365,168000,$7.25,January 2022 through December 2022,1321
